total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.2

[0.1581215667000026, 0.1581215667000026, 0.13316192908247088, 0.19265213891719524, 0.1666109864782081, 0.35228728548686256, 0.10889353226038873, 0.20054307464440477, 0.15461901473402398]
[0.15284782270598155, 0.15284782270598155, 0.1323788269143539, 0.19101578606244504, 0.16452128448150552, 0.3517775494119837, 0.10797714100262287, 0.20019887595230038, 0.15593170997356431]
[0.1310563358034869, 0.1310563358034869, 0.11906301461501194, 0.1852711967554153, 0.156698543690744, 0.3454696923990926, 0.09499821893624655, 0.19195008720743534, 0.1464383132944161]
[0.1117865912392525, 0.1117865912392525, 0.11425066637657527, 0.17735662244772113, 0.1502405006509958, 0.34261761064995, 0.08708492106266147, 0.18651756392255459, 0.14750439340405933]
[0.12264818110171322, 0.12264818110171322, 0.11425066637657527, 0.17735662244772113, 0.16110209051345656, 0.34261761064995, 0.08708492106266147, 0.18651756392255459, 0.14750439340405933]
[0.13856444766494047, 0.13856444766494047, 0.12118401654457145, 0.18551082743811462, 0.1651866578788016, 0.3478177912824477, 0.08705872588114602, 0.19023464193750886, 0.14730286664439596]
[0.12611966299185404, 0.12611966299185404, 0.1156185562796069, 0.1810734141656915, 0.16535346169752743, 0.3412573752313971, 0.08218739840895918, 0.1900411604699476, 0.14015700500154946]
[0.021156765755974336, 0.021156765755974336, 0.06799145053540707, 0.1356617911278164, 0.11418530585553921, 0.3238705051407569, 0.06060990926921469, 0.17932444039726347, 0.1376113914735693]
[-0.009679587325162074, -0.009679587325162074, 0.06872932891157613, 0.1311778184870759, 0.09599117168409162, 0.306894600851898, 0.06925044871746434, 0.17624973523787843, 0.12905711233569997]
[0.0003864385425257017, 0.0003864385425257017, 0.07297926126243967, 0.13525824470824271, 0.10788676062607234, 0.30093365795092836, 0.0662218035641653, 0.173337313066438, 0.1331457592415971]
[0.019441870693443872, 0.019441870693443872, 0.08365463753403062, 0.14593362097983367, 0.11423857134304508, 0.3072854686679011, 0.07054536911878352, 0.173337313066438, 0.13949756995856982]
[0.0292695804785377, 0.0292695804785377, 0.09450738661661805, 0.15803550892850254, 0.1118494746058101, 0.31302487431644394, 0.06599293574890748, 0.17408885943346164, 0.1413285488889709]
[-0.024036326612565377, -0.024036326612565377, 0.0886187968723021, 0.14327939638898318, 0.07996142523461904, 0.29448212114794714, 0.0434640462511829, 0.17285041830224745, 0.1259012184752557]
[-0.07002881733860344, -0.07002881733860344, 0.07199818402724983, 0.12276029261542952, 0.06935159831843914, 0.2546204086682865, 0.02441634501177882, 0.16817969370813765, 0.10787430951232185]
[0.0004101889883850212, 0.0004101889883850212, 0.07410757915501812, 0.13420344393299755, 0.12045973327157539, 0.2588587595801315, 0.025490556815811683, 0.17178261660544067, 0.10787555474089641]
[-0.09847699294689444, -0.09847699294689444, 0.04208302919068688, 0.07118350590535333, 0.0866497350300339, 0.22637516624209789, -0.005206366995344724, 0.14321113658340512, 0.09537936613508456]
[-0.11475328023918747, -0.11475328023918747, 0.04208302919068688, 0.07118350590535333, 0.0866497350300339, 0.21552430804723585, -0.005206366995344724, 0.12950825793144013, 0.09537936613508456]
