total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.3

[-0.08782442201226404, -0.08782442201226404, -0.09081266659479738, -0.13408777140867137, 0.2788018612634525, 0.5065030592808859, -0.07065484001276265, 0.0393305422908188, 0.18309025946451404]
[-0.04141348847307954, -0.04141348847307954, -0.09081266659479738, -0.13408777140867137, 0.2845580032733499, 0.5390485425634848, -0.06396520579650264, 0.042000654854593075, 0.18468182101513406]
[-0.025236437852295606, -0.025236437852295606, -0.0914493369984595, -0.13403911191067122, 0.2845088444328092, 0.5506998733257962, -0.0692659614996986, 0.042000654854593075, 0.18837380774607987]
[-0.042589084098480084, -0.042589084098480084, -0.09310632098692968, -0.1351245532675512, 0.28251142760566567, 0.5447412476260187, -0.07715431167460812, 0.04550854022649651, 0.1879889423339868]
[-0.07128818311385575, -0.07128818311385575, -0.09390671931996282, -0.13536640230367397, 0.28251142760566567, 0.5297371521528439, -0.09315053065439319, 0.04538495241940729, 0.18206571805313462]
[-0.11905105995698431, -0.11905105995698431, -0.09390671931996282, -0.14582506201363146, 0.28251142760566567, 0.5202786256668792, -0.11305264815423983, 0.042033180166151235, 0.17277481457709376]
[-0.08343183642140646, -0.08343183642140646, -0.09272613544195862, -0.14180074261090805, 0.2918863552695389, 0.5495261574178129, -0.12989104962450465, 0.05424478338087602, 0.1734299586339401]
[-0.027693664582057548, -0.027693664582057548, -0.09272613544195862, -0.1402280420344085, 0.2918863552695389, 0.5901722091212015, -0.12759762088067533, 0.057805019141646014, 0.17893989976215294]
[-0.10967959515621743, -0.10967959515621743, -0.09020671937864683, -0.1382118253305783, 0.2950255880272252, 0.5287127398733549, -0.15381856752181047, 0.04948524097361432, 0.1759499173608472]
[-0.0624258687767161, -0.0624258687767161, -0.08926993726003574, -0.1382118253305783, 0.2975341073320674, 0.5602758664538455, -0.1562552230663097, 0.054854420315053595, 0.18275765886626769]
[-0.017570735516051424, -0.017570735516051424, -0.08825821582836921, -0.13557238834994884, 0.3024332024178644, 0.5945021179547381, -0.15043551303329694, 0.05925273677614297, 0.18446598095423472]
[-0.11822295599472118, -0.11822295599472118, -0.08825821582836921, -0.13557238834994884, 0.29899758931956827, 0.5346445628468413, -0.1808112045258212, 0.02970470075612522, 0.16684738500428253]
[-0.16403081140251904, -0.16403081140251904, -0.09003358831176628, -0.1336851190092601, 0.30081770139304165, 0.5074839286574488, -0.20234566537477683, 0.032266087625728634, 0.16095654267128418]
[-0.08115021813713831, -0.08115021813713831, -0.08982903311219644, -0.1307573156286753, 0.3049059542497344, 0.5591913710308918, -0.20387330952848226, 0.04374463789548972, 0.16596550373679686]
[-0.04120382446412491, -0.04120382446412491, -0.08982903311219644, -0.12842189976376595, 0.30450633832261836, 0.5870775491681819, -0.1985619963151744, 0.06075775354747919, 0.1829581306474159]
[-0.0023024121434828872, -0.0023024121434828872, -0.08982903311219644, -0.12842189976376595, 0.3053294050480875, 0.6116704284519768, -0.1969054022955279, 0.06349143278002577, 0.2024295601901982]
[-0.08634079389211939, -0.08634079389211939, -0.09050057643323309, -0.12946918738027197, 0.3055234603277455, 0.5615656514947602, -0.2277696051223952, 0.07085699009835264, 0.19337892317707286]
[-0.0610502230189631, -0.0610502230189631, -0.09050057643323309, -0.12946918738027197, 0.3055234603277455, 0.5829650751227647, -0.22611767916232686, 0.07309621138343603, 0.19337892317707286]
[-0.06593580197822525, -0.06593580197822525, -0.09042744274183154, -0.12911969492657835, 0.3055234603277455, 0.5815617512189243, -0.2353269990322177, 0.1018513723507475, 0.18673919435601558]
[-0.03947060385023007, -0.03947060385023007, -0.08871268754727508, -0.12911969492657835, 0.3055234603277455, 0.5982315732043818, -0.22650526632288598, 0.1092480279865589, 0.1916225155577392]
